September 2	1:00 PM	Quarterfinals
September 2	2:00 PM	Quarterfinals
September 2	3:00 PM	Quarterfinals
September 3	1:00 PM	Quarterfinals
September 3	2:00 PM	Quarterfinals
September 3	3:00 PM	Quarterfinals
September 4	1:00 PM	Quarterfinals
September 4	2:00 PM	Quarterfinals
September 5	12:00 PM	Semifinals
September 5	1:00 PM	Semifinals
September 5	2:00 PM	Semifinals
September 5	3:00 PM	Semifinals
September 6	1:00 PM	Final
September 6	2:00 PM	Final	
